Time (s),Main Avg Current (A),Main Avg Power (W)
0.0000,0.7699,3.3152
0.0002,0.7932,3.4091
0.0004,0.819,3.5248
0.0006,0.7729,3.325
0.0008,0.782,3.3674
0.0010,0.7709,3.3193
0.0012,0.7765,3.3421
0.0014,0.7839,3.3725
0.0016,0.7932,3.4154
0.0018,0.7517,3.2382
0.0020,0.7296,3.1417
0.0022,0.7194,3.0964
0.0024,0.7348,3.1624
0.0026,0.7677,3.3029
0.0028,0.8131,3.4979
0.0030,0.7982,3.4355
0.0032,0.7891,3.3978
0.0034,0.7857,3.3834
0.0036,0.7788,3.3503
0.0038,0.8019,3.4499
0.0040,0.7753,3.3369
0.0042,0.7613,3.278
0.0044,0.7029,3.0294
0.0046,0.678,2.9251
0.0048,0.6243,2.6958
0.0050,0.6023,2.5981
0.0052,0.5985,2.5833
0.0054,0.5971,2.5771
0.0056,0.6049,2.6071
0.0058,0.6062,2.6128
0.0060,0.6001,2.5876
0.0062,0.5939,2.5619
0.0064,0.5921,2.5553
0.0066,0.5964,2.5716
0.0068,0.6879,2.9606
0.0070,0.7496,3.2265
0.0072,0.7372,3.1757
0.0074,0.701,3.0197
0.0076,0.748,3.2207
0.0078,0.7297,3.1422
0.0080,0.6922,2.9806
0.0082,0.692,2.9823
0.0084,0.6448,2.7805
0.0086,0.6117,2.6378
0.0088,0.6087,2.6236
0.0090,0.7153,3.0788
0.0092,0.7307,3.1478
0.0094,0.7514,3.2357
0.0096,0.7459,3.2119
0.0098,0.7332,3.1587
0.0100,0.7252,3.1212
0.0102,0.7628,3.2802
0.0104,0.789,3.3926
0.0106,0.82,3.5261
0.0108,0.8136,3.4983
0.0110,0.8181,3.5195
0.0112,0.7978,3.4339
0.0114,0.7427,3.1995
0.0116,0.7097,3.056
0.0118,0.7086,3.0499
0.0120,0.7085,3.048
0.0122,0.7272,3.1285
0.0124,0.7432,3.1971
0.0126,0.7406,3.1892
0.0128,0.7493,3.2204
0.0130,0.9151,3.9278
0.0132,0.9974,4.2789
0.0134,1.0389,4.4569
0.0136,1.0524,4.5129
0.0138,1.0587,4.5396
0.0140,1.0009,4.2978
0.0142,0.9302,3.9907
0.0144,0.9457,4.0495
0.0146,1.0871,4.6593
0.0148,1.0528,4.5186
0.0150,0.9774,4.2008
0.0152,0.8794,3.792
0.0154,0.6722,2.897
0.0156,0.6267,2.7037
0.0158,0.5991,2.5859
0.0160,0.5777,2.4944
0.0162,0.5496,2.3721
0.0164,0.565,2.4361
0.0166,0.6309,2.718
0.0168,0.7439,3.1972
0.0170,0.8591,3.6891
0.0172,0.9005,3.8704
0.0174,0.8652,3.7188
0.0176,0.8651,3.7166
0.0178,0.9553,4.0944
0.0180,1.0577,4.5334
0.0182,1.0238,4.39
0.0184,1.0193,4.371
0.0186,1.0367,4.4497
0.0188,1.0363,4.4497
0.0190,1.0117,4.3441
0.0192,0.996,4.2767
0.0194,0.9293,3.9866
0.0196,0.9757,4.1916
0.0198,0.9007,3.8768
0.0200,0.8276,3.5636
0.0202,0.7989,3.4386
0.0204,0.8148,3.5051
0.0206,0.8691,3.7388
0.0208,0.8384,3.6067
0.0210,0.7832,3.3694
0.0212,0.8176,3.5158
0.0214,0.827,3.5561
0.0216,0.8446,3.6336
0.0218,0.8423,3.6271
0.0220,0.8047,3.465
0.0222,0.8012,3.4532
0.0224,0.7465,3.219
0.0226,0.7117,3.0648
0.0228,0.7668,3.3003
0.0230,0.7564,3.2569
0.0232,0.7255,3.1242
0.0234,0.7372,3.1728
0.0236,0.785,3.3787
0.0238,0.7934,3.4133
0.0240,0.8174,3.5197
0.0242,0.8349,3.5884
0.0244,0.9226,3.9597
0.0246,0.9912,4.26
0.0248,0.9031,3.8799
0.0250,0.8464,3.6396
0.0252,0.8244,3.548
0.0254,0.8186,3.5216
0.0256,0.8302,3.5733
0.0258,0.8608,3.7015
