Time (s),Main Avg Current (A),Main Avg Power (W)
0.0000,0.9132,3.9433
0.0002,0.7994,3.4503
0.0004,0.7884,3.4043
0.0006,0.727,3.142
0.0008,0.7125,3.0736
0.0010,0.7824,3.3768
0.0012,0.8564,3.6927
0.0014,0.8988,3.8758
0.0016,0.7998,3.4535
0.0018,0.7669,3.3116
0.0020,0.7643,3.3002
0.0022,0.7614,3.2893
0.0024,0.7614,3.2878
0.0026,0.7608,3.2867
0.0028,0.7613,3.2888
0.0030,0.7624,3.2888
0.0032,0.7612,3.2867
0.0034,0.7591,3.2794
0.0036,0.7535,3.2506
0.0038,0.7574,3.2691
0.0040,0.7847,3.3851
0.0042,0.8747,3.7701
0.0044,0.9328,4.0166
0.0046,0.9522,4.1002
0.0048,0.922,3.9756
0.0050,0.8728,3.7618
0.0052,0.9141,3.9323
0.0054,0.9635,4.1487
0.0056,0.9571,4.1156
0.0058,1.0028,4.3161
0.0060,0.9581,4.1274
0.0062,0.9517,4.0943
0.0064,0.9503,4.0957
0.0066,0.8569,3.6982
0.0068,0.8229,3.5468
0.0070,0.8252,3.5583
0.0072,0.8653,3.7327
0.0074,0.8523,3.6735
0.0076,0.846,3.6494
0.0078,0.8741,3.764
0.0080,0.9247,3.982
0.0082,0.9074,3.9089
0.0084,0.9052,3.9032
0.0086,0.8738,3.766
0.0088,0.9058,3.9076
0.0090,0.8454,3.6502
0.0092,0.7987,3.4424
0.0094,0.8479,3.6543
0.0096,0.8859,3.8146
0.0098,0.9044,3.896
0.0100,0.8912,3.8391
0.0102,0.8829,3.8017
0.0104,0.9029,3.8934
0.0106,0.89,3.8358
0.0108,0.8583,3.6976
0.0110,0.8587,3.6991
0.0112,0.9201,3.9581
0.0114,0.9813,4.2198
0.0116,1.0007,4.3008
0.0118,1.0904,4.6842
0.0120,1.0571,4.5436
0.0122,1.0822,4.6513
0.0124,1.0904,4.6842
0.0126,1.0633,4.572
0.0128,1.066,4.5817
0.0130,1.0725,4.6096
0.0132,1.0275,4.4142
0.0134,1.0617,4.5632
0.0136,1.0898,4.6794
0.0138,1.159,4.9743
0.0140,1.1693,5.0279
0.0142,1.0631,4.5736
0.0144,0.9535,4.1116
0.0146,0.853,3.6766
0.0148,0.8449,3.6431
0.0150,0.8312,3.5858
0.0152,0.8132,3.5017
0.0154,0.9569,4.1127
0.0156,1.052,4.5214
0.0158,1.1134,4.7809
0.0160,1.1052,4.7503
0.0162,1.0558,4.5422
0.0164,0.9981,4.294
0.0166,0.9529,4.1071
0.0168,0.9437,4.0654
0.0170,0.9477,4.0787
0.0172,0.9307,4.0078
0.0174,0.9144,3.9394
0.0176,0.9116,3.9233
0.0178,0.8392,3.6272
0.0180,0.7011,3.0273
0.0182,0.7034,3.0399
0.0184,0.6604,2.8531
0.0186,0.7245,3.1254
0.0188,0.7736,3.3328
0.0190,0.8593,3.7017
0.0192,0.9124,3.9251
0.0194,0.9376,4.0353
0.0196,0.9239,3.9783
0.0198,0.9688,4.1695
0.0200,0.9592,4.1282
0.0202,0.9721,4.1859
0.0204,0.971,4.1774
0.0206,1.0058,4.321
0.0208,1.0368,4.4601
0.0210,0.9742,4.1869
0.0212,1.0441,4.4874
0.0214,1.0761,4.6186
0.0216,1.1947,5.1181
0.0218,1.2451,5.3364
0.0220,1.2505,5.357
0.0222,1.3133,5.6314
0.0224,1.2502,5.3635
0.0226,1.2352,5.2967
0.0228,1.2058,5.1827
0.0230,1.0992,4.7201
0.0232,1.1411,4.8998
0.0234,1.1642,4.9969
0.0236,1.1664,5.0085
0.0238,1.1073,4.7568
0.0240,1.1251,4.8314
0.0242,1.1552,4.9583
0.0244,1.1997,5.1493
0.0246,1.2087,5.1854
0.0248,1.2488,5.3573
0.0250,1.2175,5.2254
0.0252,1.2128,5.2029
0.0254,1.215,5.2073
0.0256,1.231,5.2861
0.0258,1.2301,5.2795
0.0260,1.2144,5.2218
0.0262,1.1202,4.8102
0.0264,1.1815,5.071
0.0266,1.2051,5.1724
0.0268,1.1329,4.8671
0.0270,1.1886,5.1014
0.0272,1.2156,5.2148
0.0274,1.222,5.2499
0.0276,1.1528,4.9549
0.0278,1.1314,4.8559
0.0280,1.1779,5.0579
0.0282,1.2053,5.1753
0.0284,1.1345,4.8761
0.0286,1.0774,4.635
0.0288,1.0768,4.6346
0.0290,1.0567,4.5415
0.0292,1.0717,4.6167
0.0294,0.9535,4.1097
0.0296,0.9149,3.9414
0.0298,0.928,4.0015
0.0300,0.9406,4.0501
0.0302,0.9857,4.2463
0.0304,0.9784,4.2147
0.0306,0.9918,4.2686
0.0308,1.0333,4.4431
0.0310,1.0836,4.6553
0.0312,1.0835,4.6592
0.0314,1.0316,4.4441
0.0316,0.9653,4.1584
0.0318,0.9818,4.2337
0.0320,0.9114,3.9283
0.0322,0.9306,4.011
0.0324,0.8734,3.7679
0.0326,0.8816,3.7978
0.0328,0.9334,4.0247
0.0330,0.8503,3.6664
0.0332,0.859,3.7093
0.0334,0.8198,3.535
0.0336,0.8455,3.6457
0.0338,0.9021,3.8825
0.0340,0.965,4.1593
0.0342,0.8714,3.7591
0.0344,0.8096,3.4911
0.0346,0.851,3.6746
0.0348,0.8185,3.5359
0.0350,0.7692,3.323
0.0352,0.7294,3.1495
0.0354,0.7469,3.2281
0.0356,0.7143,3.0842
0.0358,0.7248,3.1298
0.0360,0.7537,3.2546
0.0362,0.7559,3.2609
0.0364,0.7518,3.2493
0.0366,0.7505,3.2436
0.0368,0.7474,3.2287
0.0370,0.7513,3.2443
0.0372,0.7461,3.223
0.0374,0.7248,3.1284
0.0376,0.7203,3.1087
0.0378,0.7542,3.2522
0.0380,0.7759,3.352
0.0382,0.732,3.1623
0.0384,0.7542,3.2522
0.0386,0.8091,3.4906
0.0388,0.8374,3.6094
0.0390,0.8613,3.7105
0.0392,0.8719,3.756
0.0394,0.9364,4.0377
0.0396,0.8618,3.716
0.0398,0.7796,3.3665
0.0400,0.7407,3.1996
0.0402,0.7365,3.18
0.0404,0.7361,3.1785
0.0406,0.733,3.165
0.0408,0.7368,3.1772
0.0410,0.7338,3.1672
0.0412,0.7622,3.2868
0.0414,0.7696,3.323
0.0416,0.72,3.1105
0.0418,0.7208,3.1122
0.0420,0.7211,3.1123
0.0422,0.722,3.1145
0.0424,0.7258,3.1325
0.0426,0.7234,3.125
0.0428,0.7266,3.139
0.0430,0.7247,3.1278
0.0432,0.7245,3.1268
0.0434,0.7251,3.1294
0.0436,0.7524,3.2429
0.0438,0.8035,3.4631
0.0440,0.8305,3.5777
0.0442,0.8597,3.6986
0.0444,0.891,3.8386
0.0446,0.9071,3.906
0.0448,0.9481,4.0732
0.0450,1.0458,4.4925
0.0452,1.1062,4.75
0.0454,1.1179,4.796
0.0456,1.1128,4.7828
0.0458,1.1189,4.8023
0.0460,1.1672,5.0028
0.0462,1.2006,5.1553
0.0464,1.137,4.8823
0.0466,1.0778,4.6344
0.0468,1.0529,4.5256
0.0470,1.0475,4.5003
0.0472,1.0449,4.4889
0.0474,1.069,4.5925
0.0476,1.1611,4.9789
0.0478,1.2001,5.1532
0.0480,1.1509,4.9421
0.0482,1.1473,4.9197
0.0484,1.1462,4.9197
0.0486,1.1504,4.9354
0.0488,1.1447,4.913
0.0490,1.1617,4.9884
0.0492,1.0839,4.6629
0.0494,0.9575,4.1229
0.0496,0.9413,4.0551
0.0498,0.9305,4.003
0.0500,0.9307,4.0189
0.0502,0.7318,3.1598
0.0504,0.7052,3.0435
0.0506,0.6952,3.0033
0.0508,0.7306,3.1605
0.0510,0.6586,2.844
0.0512,0.7365,3.1815
0.0514,0.7212,3.1128
0.0516,0.701,3.0296
0.0518,0.6285,2.7165
0.0520,0.6728,2.9037
0.0522,0.7,3.0212
0.0524,0.7841,3.3825
0.0526,0.7934,3.4165
0.0528,0.903,3.8831
0.0530,1.034,4.4379
0.0532,1.1076,4.7517
0.0534,1.1027,4.7373
0.0536,1.134,4.8672
0.0538,1.1468,4.9269
0.0540,1.0378,4.4648
0.0542,0.9931,4.2664
0.0544,1.0657,4.5695
0.0546,1.1584,4.9694
0.0548,1.1706,5.0242
0.0550,1.1504,4.9377
0.0552,1.1347,4.8703
0.0554,1.1271,4.8396
0.0556,1.1496,4.9318
0.0558,1.1791,5.056
0.0560,1.2692,5.4371
0.0562,1.2194,5.2337
0.0564,1.1781,5.0613
0.0566,1.1361,4.8759
0.0568,1.1259,4.8344
0.0570,1.15,4.9402
0.0572,1.1084,4.7637
0.0574,1.0264,4.4116
0.0576,1.0816,4.6444
0.0578,1.1357,4.8767
0.0580,1.1729,5.0387
0.0582,1.129,4.8388
0.0584,1.2278,5.2722
0.0586,1.1444,4.9211
0.0588,1.0896,4.6833
0.0590,1.0925,4.6891
0.0592,1.1102,4.7736
0.0594,1.0533,4.5271
0.0596,1.016,4.377
0.0598,0.9863,4.2409
0.0600,1.0525,4.5256
0.0602,1.0472,4.505
0.0604,1.0329,4.4415
