Time (s),Main Avg Current (A),Main Avg Power (W)
0.1776,0.9424,4.0597
0.1778,1.0121,4.3458
0.1780,1.2045,5.1648
0.1782,1.1872,5.1121
0.1784,0.9827,4.2275
0.1786,1.0653,4.5809
0.1788,1.0693,4.6
0.1790,1.0606,4.5608
0.1792,1.0772,4.6319
0.1794,1.0622,4.5653
0.1796,1.0672,4.5891
0.1798,1.1275,4.8413
0.1800,1.2155,5.2169
0.1802,1.3247,5.6775
0.1804,1.3022,5.5866
0.1806,1.2413,5.3227
0.1808,1.233,5.297
0.1810,1.2485,5.371
0.1812,1.1447,4.9109
0.1814,1.2989,5.5696
0.1816,1.266,5.4413
0.1818,1.2036,5.1612
0.1820,1.278,5.4826
0.1822,1.2602,5.409
0.1824,1.1714,5.0345
0.1826,1.2173,5.2271
0.1828,1.2584,5.4088
0.1830,1.1293,4.8423
0.1832,1.3814,5.9096
0.1834,1.4775,6.3355
0.1836,1.301,5.5866
0.1838,1.1578,4.9716
0.1840,1.1422,4.9069
0.1842,1.1189,4.8226
0.1844,0.9826,4.2368
0.1846,0.954,4.106
0.1848,1.0232,4.4039
0.1850,1.0265,4.4158
0.1852,1.0864,4.6738
0.1854,1.0926,4.7045
0.1856,1.0356,4.4592
0.1858,0.9949,4.2861
0.1860,0.9999,4.3098
0.1862,0.9986,4.3041
0.1864,1.0221,4.4034
0.1866,1.0346,4.4385
0.1868,1.2231,5.2543
0.1870,1.1973,5.1483
0.1872,1.1825,5.0659
0.1874,1.4174,6.0693
0.1876,1.4217,6.1048
0.1878,1.2088,5.205
0.1880,1.0483,4.5139
0.1882,1.0229,4.4003
0.1884,1.0142,4.3693
0.1886,1.031,4.4437
0.1888,1.0106,4.3538
0.1890,1.0316,4.4421
0.1892,1.0143,4.3698
0.1894,0.9974,4.2949
0.1896,0.9971,4.2894
0.1898,1.0043,4.3224
0.1900,1.0425,4.4829
0.1902,1.1105,4.7798
0.1904,1.0921,4.7003
0.1906,1.0549,4.5423
0.1908,0.9508,4.0978
0.1910,0.9222,3.9747
0.1912,0.9366,4.0368
0.1914,0.9396,4.0516
0.1916,0.9222,3.9821
0.1918,0.9189,3.9603
0.1920,0.9624,4.146
0.1922,0.9595,4.1355
0.1924,0.9309,4.0138
0.1926,0.9141,3.9396
0.1928,0.9179,3.9561
0.1930,0.9468,4.0769
0.1932,1.0984,4.7342
0.1934,0.9894,4.2643
0.1936,0.9222,3.9766
0.1938,0.903,3.8938
0.1940,0.9282,4.0006
0.1942,0.937,4.0421
0.1944,0.9618,4.1454
0.1946,0.9554,4.1103
0.1948,1.0681,4.597
0.1950,1.0894,4.678
0.1952,1.3026,5.5829
0.1954,1.3157,5.6468
0.1956,1.286,5.5248
0.1958,1.2971,5.5515
0.1960,1.2878,5.5248
0.1962,1.3054,5.5895
0.1964,1.4327,6.1436
0.1966,1.3215,5.6615
0.1968,1.375,5.8907
0.1970,1.3765,5.9051
0.1972,1.3178,5.664
0.1974,1.2047,5.1562
0.1976,1.3623,5.8389
0.1978,1.2806,5.5068
0.1980,1.2667,5.4241
0.1982,1.4918,6.3758
0.1984,1.4085,6.0453
0.1986,1.2538,5.3787
0.1988,1.2006,5.1555
0.1990,1.207,5.1925
0.1992,1.1027,4.7484
0.1994,1.0355,4.4566
0.1996,1.0468,4.5056
0.1998,1.094,4.7042
0.2000,1.2353,5.2846
0.2002,1.403,6.0301
0.2004,1.1739,5.0524
0.2006,1.0875,4.6828
0.2008,1.1018,4.7377
0.2010,1.1596,4.9886
0.2012,1.1239,4.8371
0.2014,1.0257,4.4209
0.2016,1.0077,4.3393
0.2018,1.0092,4.3455
0.2020,1.0374,4.4669
0.2022,1.0385,4.4716
0.2024,1.0344,4.4519
0.2026,1.0297,4.4339
0.2028,1.0119,4.3554
0.2030,1.016,4.377
0.2032,1.0364,4.469
0.2034,1.0266,4.4204
0.2036,1.0969,4.7187
0.2038,1.08,4.6568
0.2040,0.9896,4.2673
0.2042,0.9719,4.1849
0.2044,0.982,4.2302
0.2046,0.989,4.2647
0.2048,1.026,4.4179
0.2050,1.0611,4.5671
0.2052,1.0843,4.6689
0.2054,1.0762,4.6321
0.2056,1.0666,4.5866
0.2058,1.1271,4.8307
0.2060,1.314,5.637
0.2062,1.2818,5.517
0.2064,1.139,4.893
0.2066,1.165,5.0118
0.2068,1.1265,4.8484
0.2070,1.1258,4.8453
0.2072,1.07,4.6117
0.2074,0.9366,4.0368
0.2076,0.9145,3.949
0.2078,0.9024,3.893
0.2080,0.93,4.0102
0.2082,0.9017,3.8917
0.2084,0.9456,4.0775
0.2086,0.9452,4.074
0.2088,0.9123,3.9282
0.2090,0.9944,4.2581
0.2092,1.3987,5.9807
0.2094,1.3617,5.8582
0.2096,1.1822,5.062
0.2098,1.4576,6.2384
0.2100,1.3796,5.9213
0.2102,1.2287,5.2662
0.2104,1.4097,6.0561
0.2106,1.1999,5.1668
0.2108,1.0033,4.3242
0.2110,0.9292,4.0103
0.2112,0.9245,3.9901
0.2114,0.9962,4.2798
0.2116,1.0533,4.5356
0.2118,1.0365,4.4612
