Time (s),Main Avg Current (A),Main Avg Power (W)
0.0604,1.471,6.3343
0.0606,1.2586,5.4096
0.0608,1.4632,6.2831
0.0610,1.3896,5.992
0.0612,1.2622,5.4201
0.0614,1.4866,6.3806
0.0616,1.3624,5.8637
0.0618,1.3203,5.6561
0.0620,1.5285,6.5755
0.0622,1.3228,5.6801
0.0624,1.4623,6.2673
0.0626,1.456,6.2639
0.0628,1.3173,5.6591
0.0630,1.3504,5.8094
0.0632,1.3118,5.6301
0.0634,1.4244,6.1163
0.0636,1.4267,6.1232
0.0638,1.4157,6.0877
0.0640,1.4375,6.1696
0.0642,1.4855,6.3849
0.0644,1.3867,5.938
0.0646,1.5194,6.5302
0.0648,1.3922,5.9699
0.0650,1.5398,6.6148
0.0652,1.3673,5.8848
0.0654,1.324,5.6959
0.0656,1.2938,5.571
0.0658,1.2398,5.3386
0.0660,1.2198,5.2524
0.0662,1.1932,5.1354
0.0664,1.186,5.1115
0.0666,1.1934,5.1412
0.0668,1.2429,5.3471
0.0670,1.3194,5.6815
0.0672,1.2675,5.4579
0.0674,1.274,5.4833
0.0676,1.2399,5.3392
0.0678,1.2369,5.3238
0.0680,1.2398,5.3386
0.0682,1.2413,5.3498
0.0684,1.2203,5.2569
0.0686,1.2324,5.3091
0.0688,1.2261,5.2798
0.0690,1.2335,5.3137
0.0692,1.2335,5.3113
0.0694,1.2278,5.2894
0.0696,1.2222,5.2652
0.0698,1.1751,5.0668
0.0700,1.1782,5.0756
0.0702,1.2078,5.1983
0.0704,1.2188,5.2483
0.0706,1.1828,5.0933
0.0708,1.1887,5.121
0.0710,1.1852,5.1084
0.0712,1.1717,5.0477
0.0714,1.1917,5.1316
0.0716,1.2522,5.3893
0.0718,1.2405,5.3442
0.0720,1.232,5.3075
0.0722,1.1992,5.1636
0.0724,1.2143,5.2335
0.0726,1.1846,5.1011
0.0728,1.1749,5.0593
0.0730,1.1673,5.0239
0.0732,1.1818,5.0863
0.0734,1.2236,5.264
0.0736,1.2313,5.297
0.0738,1.2673,5.4544
0.0740,1.2209,5.257
0.0742,1.2106,5.2151
0.0744,1.2144,5.2292
0.0746,1.2354,5.3171
0.0748,1.244,5.3542
0.0750,1.2614,5.4265
0.0752,1.2925,5.555
0.0754,1.3359,5.7496
0.0756,1.2163,5.2496
0.0758,1.0904,4.6952
0.0760,1.1923,5.1294
0.0762,1.3354,5.7182
0.0764,1.5414,6.6189
0.0766,1.3695,5.8941
0.0768,1.3148,5.6404
0.0770,1.4271,6.151
0.0772,1.2399,5.3317
0.0774,1.4327,6.1461
0.0776,1.5274,6.5678
0.0778,1.2959,5.5648
0.0780,1.472,6.3178
0.0782,1.412,6.083
0.0784,1.2669,5.4376
0.0786,1.4955,6.4247
0.0788,1.3269,5.7056
0.0790,1.3325,5.7165
0.0792,1.4504,6.2425
0.0794,1.2644,5.4293
0.0796,1.3426,5.7812
0.0798,1.2398,5.3238
0.0800,1.4106,6.0655
0.0802,1.3513,5.7865
0.0804,1.5798,6.7805
0.0806,1.5719,6.7183
0.0808,1.6491,7.0912
0.0810,1.4163,6.079
0.0812,1.5436,6.6313
0.0814,1.4939,6.406
0.0816,1.5888,6.816
0.0818,1.4528,6.2529
0.0820,1.2556,5.4093
0.0822,1.2356,5.3255
0.0824,1.2176,5.2455
0.0826,1.23,5.3012
0.0828,1.2295,5.2991
0.0830,1.2157,5.2397
0.0832,1.1881,5.1161
0.0834,1.1808,5.0893
0.0836,1.1884,5.1171
0.0838,1.2357,5.3235
0.0840,1.1917,5.1387
0.0842,1.2036,5.1875
0.0844,1.2284,5.2871
0.0846,1.3025,5.6009
0.0848,1.3112,5.6433
0.0850,1.2423,5.347
0.0852,1.3011,5.5869
0.0854,1.3617,5.8633
0.0856,1.2859,5.5369
0.0858,1.2625,5.4413
0.0860,1.2206,5.2584
0.0862,1.2327,5.3106
0.0864,1.2132,5.2313
0.0866,1.1948,5.1498
0.0868,1.188,5.1227
0.0870,1.1796,5.0888
0.0872,1.1921,5.1379
0.0874,1.2085,5.2111
0.0876,1.1966,5.1551
0.0878,1.2384,5.3324
0.0880,1.2235,5.2733
0.0882,1.2207,5.2614
0.0884,1.2135,5.2207
0.0886,1.2838,5.5282
0.0888,1.2295,5.2942
0.0890,1.199,5.1559
0.0892,1.2721,5.4648
0.0894,1.3235,5.6938
0.0896,1.2264,5.2808
0.0898,1.1958,5.1515
0.0900,1.1826,5.0947
0.0902,1.2139,5.2222
0.0904,1.2377,5.3269
0.0906,1.2183,5.2438
0.0908,1.2032,5.1763
0.0910,1.2409,5.3309
0.0912,1.323,5.6891
0.0914,1.3487,5.8048
0.0916,1.2564,5.4074
0.0918,1.2548,5.3957
0.0920,1.2933,5.5715
0.0922,1.1557,4.9928
0.0924,1.0768,4.6433
0.0926,1.206,5.1906
0.0928,1.3427,5.7575
0.0930,1.5266,6.5489
0.0932,1.4138,6.0795
0.0934,1.3998,5.9939
0.0936,1.5308,6.5914
0.0938,1.3029,5.5868
0.0940,1.538,6.5824
0.0942,1.6188,6.964
0.0944,1.3188,5.6763
0.0946,1.3909,5.9754
0.0948,1.4024,6.0389
0.0950,1.3069,5.6116
0.0952,1.4749,6.336
0.0954,1.3312,5.7375
0.0956,1.2625,5.4186
0.0958,1.4324,6.168
0.0960,1.2687,5.4479
0.0962,1.3932,5.9908
0.0964,1.3374,5.7349
0.0966,1.5172,6.5179
0.0968,1.4361,6.1639
0.0970,1.5077,6.4802
0.0972,1.4258,6.1111
0.0974,1.5499,6.6617
0.0976,1.4195,6.0895
0.0978,1.554,6.673
0.0980,1.4523,6.2421
0.0982,1.5059,6.4605
0.0984,1.4773,6.3641
0.0986,1.2442,5.3577
0.0988,1.2392,5.3311
0.0990,1.267,5.4508
0.0992,1.2953,5.5777
0.0994,1.2368,5.3282
0.0996,1.2312,5.3039
0.0998,1.2123,5.2228
0.1000,1.2825,5.5148
0.1002,1.332,5.7331
0.1004,1.2765,5.4941
0.1006,1.2603,5.4295
0.1008,1.1934,5.1459
0.1010,1.1983,5.1648
0.1012,1.2163,5.2374
0.1014,1.2378,5.3299
0.1016,1.2258,5.2733
0.1018,1.2415,5.3459
0.1020,1.2206,5.256
0.1022,1.2073,5.1987
0.1024,1.2213,5.2591
0.1026,1.2344,5.3179
0.1028,1.2017,5.1768
0.1030,1.1952,5.1489
0.1032,1.2042,5.1853
0.1034,1.202,5.1808
0.1036,1.2162,5.2393
0.1038,1.242,5.343
0.1040,1.2981,5.587
0.1042,1.2296,5.2972
0.1044,1.1995,5.1651
0.1046,1.1945,5.1458
0.1048,1.1622,5.0045
0.1050,1.1896,5.1246
0.1052,1.2156,5.2367
0.1054,1.1935,5.1465
0.1056,1.1796,5.0865
0.1058,1.1894,5.1265
0.1060,1.1957,5.151
0.1062,1.1951,5.1508
0.1064,1.1716,5.0518
0.1066,1.1669,5.034
0.1068,1.1652,5.0221
0.1070,1.1802,5.0867
0.1072,1.2134,5.2299
0.1074,1.2199,5.2505
0.1076,1.2937,5.5602
0.1078,1.2841,5.5266
0.1080,1.2554,5.4058
0.1082,1.2341,5.3138
0.1084,1.2326,5.3076
0.1086,1.2297,5.2953
0.1088,1.1709,5.0557
0.1090,1.076,4.6332
