Time (s),Main Avg Current (A),Main Avg Power (W)
0.0000,0.2307,0.9898
0.0002,0.2095,0.9012
0.0004,0.0463,0.1998
0.0006,-0.0007,-0.0032
0.0008,-0.0007,-0.0032
0.0010,-0.0007,-0.0032
0.0012,-0.0007,-0.0032
0.0014,-0.0007,-0.0032
0.0016,-0.0007,-0.0032
0.0018,-0.0007,-0.0032
0.0020,-0.0007,-0.0032
0.0022,-0.0007,-0.0032
0.0024,-0.0007,-0.0032
0.0026,-0.0007,-0.0032
0.0028,-0.0007,-0.0032
0.0030,-0.0007,-0.0032
0.0032,-0.0007,-0.0032
0.0034,-0.0007,-0.0032
0.0036,-0.0007,-0.0032
0.0038,-0.0007,-0.0032
0.0040,-0.0007,-0.0032
0.0042,-0.0007,-0.0032
0.0044,-0.0007,-0.0032
0.0046,-0.0007,-0.0031
0.0048,-0.0007,-0.0031
0.0050,-0.0007,-0.0031
0.0052,-0.0007,-0.0031
0.0054,-0.0007,-0.0031
0.0056,-0.0007,-0.0032
0.0058,-0.0007,-0.0031
0.0060,-0.0007,-0.0032
0.0062,-0.0007,-0.0032
0.0064,-0.0007,-0.0032
0.0066,-0.0007,-0.0031
0.0068,-0.0007,-0.0031
0.0070,-0.0007,-0.0031
0.0072,-0.0007,-0.0031
0.0074,-0.0007,-0.0031
0.0076,-0.0007,-0.0031
0.0078,-0.0007,-0.0031
0.0080,0.0072,0.0309
0.0082,0.0372,0.1594
0.0084,0.1723,0.7399
0.0086,0.1309,0.5625
0.0088,0.1091,0.4688
0.0090,0.0982,0.4219
0.0092,0.1098,0.4712
0.0094,0.2173,0.9308
0.0096,0.222,0.9544
0.0098,0.1343,0.5759
0.0100,0.1889,0.8117
0.0102,0.0761,0.3279
0.0104,-0.0007,-0.0031
0.0106,-0.0007,-0.0031
0.0108,-0.0007,-0.0031
0.0110,0.0214,0.092
0.0112,0.057,0.2448
0.0114,0.0348,0.1501
0.0116,-0.0007,-0.0031
0.0118,0.0108,0.0467
0.0120,-0.0007,-0.0031
0.0122,-0.0007,-0.0031
0.0124,0.0801,0.3438
0.0126,0.1782,0.7648
0.0128,0.1594,0.6843
0.0130,0.165,0.7079
0.0132,0.1842,0.7913
0.0134,0.1078,0.4642
0.0136,0.0016,0.0068
0.0138,0.0501,0.2154
0.0140,0.0244,0.1049
0.0142,0.0355,0.1527
0.0144,-0.0007,-0.0032
0.0146,-0.0007,-0.0032
0.0148,-0.0007,-0.0032
0.0150,-0.0007,-0.0031
0.0152,-0.0007,-0.0031
0.0154,-0.0007,-0.0031
0.0156,-0.0007,-0.0032
0.0158,-0.0007,-0.0032
0.0160,-0.0007,-0.0032
0.0162,-0.0007,-0.0032
0.0164,-0.0007,-0.0031
0.0166,-0.0007,-0.0032
0.0168,-0.0007,-0.0031
0.0170,-0.0007,-0.0031
0.0172,-0.0007,-0.0031
0.0174,-0.0007,-0.0031
0.0176,-0.0007,-0.0031
0.0178,-0.0007,-0.0031
0.0180,-0.0007,-0.0032
0.0182,-0.0007,-0.0031
0.0184,-0.0007,-0.0032
0.0186,-0.0007,-0.0031
0.0188,-0.0007,-0.0032
0.0190,-0.0007,-0.0031
0.0192,-0.0007,-0.0031
0.0194,-0.0007,-0.0031
0.0196,-0.0007,-0.0031
0.0198,-0.0007,-0.0032
0.0200,-0.0007,-0.0032
0.0202,-0.0007,-0.0031
0.0204,-0.0007,-0.0031
0.0206,-0.0007,-0.0032
0.0208,-0.0007,-0.0032
0.0210,-0.0007,-0.0031
0.0212,-0.0007,-0.0031
0.0214,0.0012,0.0051
0.0216,0.0377,0.1624
0.0218,-0.0007,-0.0031
0.0220,-0.0007,-0.0031
0.0222,-0.0007,-0.0031
0.0224,-0.0007,-0.0032
0.0226,-0.0007,-0.0031
0.0228,-0.0007,-0.0031
0.0230,-0.0007,-0.0031
0.0232,-0.0007,-0.0031
0.0234,-0.0007,-0.0031
0.0236,-0.0007,-0.0031
0.0238,-0.0007,-0.0031
0.0240,-0.0007,-0.0031
0.0242,-0.0007,-0.0031
0.0244,0.0017,0.0072
0.0246,0.0969,0.4162
0.0248,0.1355,0.5816
0.0250,0.1381,0.5932
0.0252,0.1204,0.517
0.0254,0.1089,0.4678
0.0256,0.1125,0.4832
0.0258,0.1038,0.4459
0.0260,0.1568,0.6719
0.0262,0.3147,1.3473
0.0264,0.2092,0.8985
0.0266,0.0994,0.4269
0.0268,0.1624,0.6959
0.0270,0.2596,1.1117
0.0272,0.2489,1.067
0.0274,0.2298,0.9843
0.0276,0.2157,0.9276
0.0278,0.0591,0.2546
0.0280,0.0977,0.4189
0.0282,0.2577,1.1024
0.0284,0.3613,1.5442
0.0286,0.4651,1.9871
0.0288,0.5211,2.2274
0.0290,0.4695,2.0084
0.0292,0.3891,1.6647
0.0294,0.3529,1.5133
0.0296,0.1991,0.8551
0.0298,0.1185,0.5092
0.0300,0.0866,0.3725
0.0302,0.0729,0.3138
0.0304,0.0801,0.3443
0.0306,0.1038,0.4463
0.0308,0.1408,0.6045
0.0310,0.0885,0.3816
0.0312,-0.0007,-0.0031
0.0314,-0.0007,-0.0031
0.0316,0.0509,0.219
0.0318,0.0875,0.3769
0.0320,-0.0007,-0.0031
0.0322,-0.0007,-0.0031
0.0324,0.0248,0.1064
0.0326,0.102,0.439
0.0328,0.0764,0.3286
0.0330,0.0425,0.1825
0.0332,0.0952,0.4096
0.0334,0.053,0.2281
0.0336,0.0682,0.2935
0.0338,0.0275,0.1182
0.0340,0.0975,0.419
0.0342,0.1049,0.4512
0.0344,0.0874,0.3761
0.0346,0.0835,0.3587
0.0348,0.1085,0.4666
0.0350,0.0903,0.3879
0.0352,0.111,0.4775
0.0354,0.1482,0.6355
0.0356,0.3214,1.3729
0.0358,0.4779,2.0424
0.0360,0.437,1.8702
0.0362,0.351,1.5001
0.0364,0.4424,1.8924
0.0366,0.4267,1.8252
0.0368,0.3952,1.6924
0.0370,0.3554,1.5184
0.0372,0.4541,1.9436
0.0374,0.2708,1.1648
0.0376,0.1658,0.7111
0.0378,0.251,1.0777
0.0380,0.212,0.9095
0.0382,0.2383,1.0246
0.0384,0.1615,0.6933
0.0386,0.2168,0.9323
0.0388,0.1325,0.5682
0.0390,0.2257,0.9695
0.0392,0.1829,0.7845
0.0394,0.1935,0.833
0.0396,0.1005,0.4319
0.0398,0.1585,0.6807
0.0400,0.1944,0.8331
0.0402,0.3819,1.6339
0.0404,0.3831,1.6398
0.0406,0.3709,1.5897
0.0408,0.3196,1.3722
0.0410,0.2191,0.9407
0.0412,0.2092,0.8998
0.0414,0.1471,0.6318
0.0416,0.1973,0.8451
0.0418,0.3584,1.5362
0.0420,0.3746,1.6071
0.0422,0.3392,1.4567
0.0424,0.2672,1.1488
0.0426,0.174,0.7478
0.0428,0.2146,0.9208
0.0430,0.2939,1.2609
0.0432,0.3141,1.3448
0.0434,0.3766,1.6121
0.0436,0.4584,1.9612
0.0438,0.3952,1.6956
0.0440,0.2227,0.9557
0.0442,0.2343,1.0061
0.0444,0.2186,0.9391
0.0446,0.2295,0.986
0.0448,0.2288,0.9829
0.0450,0.215,0.9237
0.0452,0.2116,0.9088
0.0454,0.2322,0.9969
0.0456,0.2459,1.0551
0.0458,0.396,1.6947
0.0460,0.4565,1.9539
0.0462,0.5167,2.2125
0.0464,0.4761,2.0413
0.0466,0.3932,1.6829
0.0468,0.4866,2.0846
0.0470,0.4624,1.9772
0.0472,0.4141,1.7788
0.0474,0.1971,0.8465
0.0476,0.2504,1.0756
0.0478,0.1887,0.8105
0.0480,0.2078,0.8936
0.0482,0.1112,0.478
0.0484,0.153,0.6582
0.0486,0.1078,0.4644
0.0488,0.1241,0.5337
0.0490,0.1267,0.5458
0.0492,0.1319,0.5672
0.0494,0.1131,0.4862
0.0496,0.1271,0.5471
0.0498,0.0952,0.4107
0.0500,0.0893,0.3845
0.0502,0.1238,0.5336
0.0504,0.0914,0.3931
0.0506,0.12,0.5169
0.0508,0.0456,0.1967
0.0510,-0.0007,-0.0031
0.0512,-0.0007,-0.0031
0.0514,-0.0007,-0.0031
0.0516,-0.0007,-0.0032
0.0518,-0.0007,-0.0032
0.0520,-0.0007,-0.0032
0.0522,-0.0007,-0.0032
0.0524,-0.0007,-0.0032
0.0526,-0.0007,-0.0032
0.0528,-0.0007,-0.0032
0.0530,-0.0007,-0.0032
0.0532,-0.0007,-0.0032
0.0534,-0.0007,-0.0032
0.0536,-0.0007,-0.0032
0.0538,-0.0007,-0.0031
0.0540,-0.0007,-0.0032
0.0542,-0.0007,-0.0031
0.0544,0.0855,0.3678
0.0546,0.0841,0.3618
0.0548,0.0603,0.2602
0.0550,-0.0007,-0.0031
0.0552,-0.0007,-0.0031
0.0554,-0.0007,-0.0031
0.0556,-0.0007,-0.0032
0.0558,-0.0007,-0.0031
0.0560,-0.0007,-0.0031
0.0562,-0.0007,-0.0031
0.0564,-0.0007,-0.0031
0.0566,-0.0007,-0.0031
0.0568,0.0337,0.145
0.0570,0.0731,0.3148
0.0572,0.0705,0.3039
0.0574,0.0195,0.0839
0.0576,0.0325,0.14
0.0578,0.0972,0.418
0.0580,0.1429,0.6149
0.0582,0.192,0.824
0.0584,0.2539,1.0891
0.0586,0.2438,1.0463
0.0588,0.2352,1.0097
0.0590,0.2377,1.0201
0.0592,0.2407,1.031
0.0594,0.3379,1.4449
0.0596,0.4601,1.9711
0.0598,0.3452,1.479
0.0600,0.3698,1.5828
0.0602,0.3834,1.6439
0.0604,0.3289,1.4091
0.0606,0.404,1.7299
0.0608,0.4696,2.0079
0.0610,0.5059,2.1653
0.0612,0.4061,1.7424
0.0614,0.315,1.3514
0.0616,0.3594,1.5389
0.0618,0.4446,1.904
0.0620,0.4538,1.9466
0.0622,0.3852,1.6516
0.0624,0.3675,1.576
0.0626,0.387,1.6577
0.0628,0.3812,1.6331
0.0630,0.3986,1.706
0.0632,0.4768,2.0416
0.0634,0.4358,1.8668
0.0636,0.378,1.6207
0.0638,0.3722,1.5968
0.0640,0.3069,1.3177
0.0642,0.2399,1.0299
0.0644,0.3159,1.3544
0.0646,0.3589,1.5375
0.0648,0.3608,1.5429
0.0650,0.4913,2.1027
0.0652,0.4791,2.0532
0.0654,0.3166,1.3613
0.0656,0.1868,0.8037
0.0658,0.229,0.9849
0.0660,0.2281,0.9812
0.0662,0.1718,0.7389
0.0664,0.2407,1.0334
0.0666,0.197,0.8456
0.0668,0.3007,1.2896
0.0670,0.3039,1.3054
0.0672,0.3323,1.4255
0.0674,0.3275,1.4075
0.0676,0.2257,0.9682
0.0678,0.3048,1.3113
0.0680,0.1706,0.7334
0.0682,0.2131,0.9154
0.0684,0.2795,1.2003
0.0686,0.3049,1.3094
0.0688,0.2801,1.2034
0.0690,0.3434,1.4768
0.0692,0.1564,0.673
0.0694,0.1215,0.5238
0.0696,0.0961,0.4147
0.0698,-0.0007,-0.0032
0.0700,-0.0007,-0.0032
0.0702,-0.0007,-0.0032
0.0704,-0.0007,-0.0032
0.0706,-0.0007,-0.0032
0.0708,-0.0007,-0.0031
0.0710,0.0844,0.3638
0.0712,0.0767,0.3306
0.0714,0.0594,0.2561
0.0716,0.0139,0.0598
0.0718,0.0639,0.2753
0.0720,0.0304,0.1312
0.0722,-0.0007,-0.0032
0.0724,-0.0007,-0.0032
0.0726,-0.0007,-0.0032
0.0728,-0.0007,-0.0032
0.0730,-0.0007,-0.0032
0.0732,-0.0007,-0.0031
0.0734,0.0238,0.1026
0.0736,0.08,0.3441
0.0738,0.1192,0.514
0.0740,0.0297,0.1278
0.0742,0.0307,0.1322
0.0744,0.0884,0.3804
0.0746,0.1261,0.5429
0.0748,0.1456,0.6254
0.0750,0.2275,0.9772
0.0752,0.2086,0.8972
0.0754,0.2001,0.8606
0.0756,0.2059,0.8845
0.0758,0.2027,0.8706
0.0760,0.2325,0.9966
0.0762,0.3725,1.5956
0.0764,0.3153,1.3537
0.0766,0.2766,1.1868
0.0768,0.3671,1.5747
0.0770,0.3192,1.3713
0.0772,0.2319,0.9968
0.0774,0.2711,1.1642
0.0776,0.3519,1.5077
0.0778,0.433,1.8559
0.0780,0.4257,1.8237
0.0782,0.4601,1.9693
0.0784,0.4811,2.06
0.0786,0.45,1.9298
0.0788,0.4198,1.7977
0.0790,0.4428,1.898
0.0792,0.4198,1.7993
0.0794,0.4233,1.8134
0.0796,0.4627,1.9815
0.0798,0.4656,1.9929
0.0800,0.5022,2.1474
0.0802,0.6053,2.5835
0.0804,0.6643,2.838
0.0806,0.7068,3.0137
0.0808,0.7607,3.2453
0.0810,0.7611,3.2499
0.0812,0.6855,2.9273
0.0814,0.5973,2.5588
0.0816,0.5058,2.1628
0.0818,0.5757,2.4629
0.0820,0.5331,2.285
0.0822,0.4991,2.1401
0.0824,0.4389,1.8828
0.0826,0.3788,1.6236
0.0828,0.4541,1.9454
0.0830,0.4371,1.876
0.0832,0.4336,1.8584
0.0834,0.4699,2.0151
0.0836,0.4488,1.9228
0.0838,0.4944,2.123
0.0840,0.3769,1.6154
0.0842,0.4197,1.803
0.0844,0.3065,1.3161
0.0846,0.3635,1.5614
0.0848,0.3171,1.3614
0.0850,0.3161,1.3586
0.0852,0.275,1.184
0.0854,0.1856,0.8001
0.0856,0.1249,0.5398
0.0858,-0.0007,-0.0031
0.0860,-0.0007,-0.0032
0.0862,-0.0007,-0.0032
0.0864,-0.0007,-0.0032
0.0866,-0.0007,-0.0032
0.0868,-0.0007,-0.0032
0.0870,-0.0007,-0.0032
0.0872,-0.0007,-0.0032
0.0874,-0.0007,-0.0031
0.0876,0.0796,0.3432
0.0878,0.0752,0.3244
0.0880,0.0737,0.3178
