Time (s),Main Avg Current (A),Main Avg Power (W)
0.0420,0.3984,1.7162
0.0422,0.4017,1.7314
0.0424,0.4445,1.9133
0.0426,0.5033,2.1642
0.0428,0.5435,2.3369
0.0430,0.5491,2.3623
0.0432,0.5387,2.3163
0.0434,0.5431,2.3354
0.0436,0.5293,2.2771
0.0438,0.4555,1.9603
0.0440,0.4471,1.9232
0.0442,0.4936,2.1264
0.0444,0.43,1.8534
0.0446,0.395,1.7025
0.0448,0.3918,1.6885
0.0450,0.4333,1.863
0.0452,0.5528,2.3749
0.0454,0.5739,2.4668
0.0456,0.5733,2.4665
0.0458,0.517,2.224
0.0460,0.5305,2.2812
0.0462,0.4555,1.9621
0.0464,0.3632,1.5648
0.0466,0.3798,1.6369
0.0468,0.3781,1.6296
0.0470,0.3689,1.5898
0.0472,0.3656,1.5751
0.0474,0.3891,1.6764
0.0476,0.3986,1.7156
0.0478,0.3963,1.7066
0.0480,0.3792,1.6328
0.0482,0.3757,1.6178
0.0484,0.4256,1.8292
0.0486,0.543,2.3316
0.0488,0.5908,2.5359
0.0490,0.6887,2.9476
0.0492,0.714,3.0716
0.0494,0.5063,2.174
0.0496,0.6035,2.5916
0.0498,0.6407,2.7526
0.0500,0.5264,2.2648
0.0502,0.5995,2.5681
0.0504,0.7753,3.3228
0.0506,0.8148,3.4859
0.0508,0.8589,3.6776
0.0510,0.7081,3.0421
0.0512,0.5633,2.4198
0.0514,0.5666,2.4353
0.0516,0.5395,2.3188
0.0518,0.5483,2.3608
0.0520,0.4917,2.1181
0.0522,0.4679,2.013
0.0524,0.508,2.1823
0.0526,0.5702,2.4519
0.0528,0.4969,2.1378
0.0530,0.5044,2.1698
0.0532,0.5023,2.1591
0.0534,0.5298,2.2803
0.0536,0.4728,2.036
0.0538,0.4501,1.9388
0.0540,0.3816,1.6439
0.0542,0.3894,1.6766
0.0544,0.4274,1.8386
0.0546,0.4716,2.0309
0.0548,0.4142,1.7819
0.0550,0.4364,1.8782
0.0552,0.4406,1.8971
0.0554,0.4924,2.1192
0.0556,0.4879,2.0992
0.0558,0.4472,1.9238
0.0560,0.5152,2.2111
0.0562,0.6657,2.8531
