Time (s),Main Avg Current (A),Main Avg Power (W)
0.0000,1.0819,4.6436
0.0002,1.1269,4.8344
0.0004,1.068,4.5925
0.0006,0.963,4.1369
0.0008,1.0028,4.3059
0.0010,1.0876,4.6635
0.0012,1.1801,5.0675
0.0014,1.0539,4.5295
0.0016,1.0087,4.3372
0.0018,1.013,4.3538
0.0020,1.0218,4.3878
0.0022,1.0057,4.3203
0.0024,0.9812,4.2172
0.0026,0.9863,4.2393
0.0028,0.9945,4.2764
0.0030,0.9771,4.1996
0.0032,0.9944,4.2759
0.0034,0.9874,4.2479
0.0036,0.9699,4.1687
0.0038,0.9937,4.2708
0.0040,0.9291,3.9972
0.0042,0.876,3.7704
0.0044,0.9086,3.9108
0.0046,0.8999,3.8731
0.0048,0.8941,3.8465
0.0050,0.971,4.1772
0.0052,0.966,4.1517
0.0054,0.9722,4.1785
0.0056,0.9483,4.0778
0.0058,0.9432,4.0594
0.0060,0.9392,4.0443
0.0062,0.9287,3.997
0.0064,0.9482,4.0811
0.0066,0.9597,4.1287
0.0068,0.9297,3.9998
0.0070,0.9539,4.0997
0.0072,0.9223,3.9715
0.0074,0.8879,3.8179
0.0076,0.9182,3.9539
0.0078,0.914,3.9322
0.0080,0.903,3.8865
0.0082,0.8325,3.5847
0.0084,0.8685,3.7361
0.0086,0.8783,3.7784
0.0088,0.8658,3.7317
0.0090,0.8333,3.59
0.0092,0.8259,3.5613
0.0094,0.8135,3.5064
0.0096,0.8137,3.5069
0.0098,0.8087,3.4841
0.0100,0.8115,3.4976
0.0102,0.765,3.3016
0.0104,0.7276,3.1416
0.0106,0.7193,3.1059
0.0108,0.7134,3.0776
0.0110,0.7164,3.0934
0.0112,0.7115,3.0694
0.0114,0.7047,3.0385
0.0116,0.7307,3.1521
0.0118,0.7915,3.4113
0.0120,0.8241,3.5519
0.0122,0.7804,3.3668
0.0124,0.726,3.1291
0.0126,0.7288,3.1424
0.0128,0.7286,3.1448
0.0130,0.7286,3.1433
0.0132,0.7258,3.1295
0.0134,0.7231,3.1181
0.0136,0.7267,3.1336
0.0138,0.7189,3.1014
0.0140,0.7025,3.0306
0.0142,0.7008,3.0233
0.0144,0.7055,3.0449
0.0146,0.6936,2.9951
0.0148,0.6937,2.9914
0.0150,0.7713,3.3183
0.0152,0.8832,3.7978
0.0154,0.9114,3.9263
0.0156,0.7998,3.4501
0.0158,0.7242,3.1228
0.0160,0.717,3.0917
0.0162,0.7125,3.0735
0.0164,0.7129,3.0756
0.0166,0.7354,3.1679
0.0168,0.8439,3.6304
0.0170,0.8965,3.8587
0.0172,0.8905,3.8311
0.0174,0.8285,3.5693
0.0176,0.7954,3.4299
0.0178,0.7496,3.2309
0.0180,0.7517,3.2412
0.0182,0.7362,3.173
0.0184,0.855,3.6835
0.0186,0.8577,3.6949
0.0188,0.8333,3.585
0.0190,0.8284,3.5638
0.0192,0.8211,3.5356
0.0194,0.7958,3.4283
0.0196,0.8107,3.4907
0.0198,0.8384,3.605
0.0200,0.8643,3.7233
0.0202,0.8578,3.6988
0.0204,0.706,3.0427
0.0206,0.7464,3.211
0.0208,0.8188,3.5275
0.0210,0.8138,3.5041
0.0212,0.8101,3.4881
0.0214,0.7968,3.4324
0.0216,0.7969,3.4297
0.0218,0.845,3.6333
0.0220,0.8885,3.8276
0.0222,0.8131,3.5059
0.0224,0.7031,3.0303
0.0226,0.688,2.968
0.0228,0.9007,3.8551
0.0230,1.1035,4.7407
0.0232,0.981,4.2161
0.0234,1.0872,4.6576
0.0236,1.0527,4.5286
0.0238,0.8866,3.8052
0.0240,1.0182,4.3622
0.0242,1.025,4.4012
0.0244,1.0228,4.3981
0.0246,0.97,4.1576
0.0248,1.1582,4.9663
0.0250,1.1384,4.8861
0.0252,1.0719,4.5982
0.0254,1.1384,4.8724
0.0256,1.1475,4.9114
0.0258,1.2533,5.3641
0.0260,1.1861,5.0909
0.0262,1.1482,4.9168
0.0264,1.2355,5.2955
0.0266,1.2417,5.3143
0.0268,1.2337,5.2903
0.0270,1.137,4.8685
0.0272,1.2208,5.2348
0.0274,1.1404,4.8902
0.0276,1.1149,4.7807
0.0278,1.1994,5.1384
0.0280,1.1943,5.1259
0.0282,1.1027,4.7305
0.0284,1.1786,5.042
0.0286,1.3215,5.6667
0.0288,1.2311,5.2765
0.0290,1.1801,5.0581
0.0292,1.308,5.5981
0.0294,1.263,5.4132
0.0296,1.2017,5.153
0.0298,1.0976,4.7154
0.0300,1.0433,4.4779
0.0302,1.0462,4.4944
0.0304,1.0407,4.4707
0.0306,1.038,4.4615
0.0308,1.0151,4.361
0.0310,1.0444,4.4846
0.0312,1.051,4.5192
0.0314,0.9969,4.2787
0.0316,1.0874,4.6673
0.0318,1.1119,4.7701
0.0320,1.1251,4.8289
0.0322,1.0733,4.6087
0.0324,1.0398,4.465
0.0326,1.1162,4.7953
0.0328,1.0361,4.4594
0.0330,0.9238,3.9758
0.0332,0.9402,4.0428
0.0334,0.9964,4.2866
0.0336,0.9091,3.9129
0.0338,0.9136,3.9319
0.0340,0.9339,4.0141
0.0342,0.964,4.1512
0.0344,0.8969,3.862
0.0346,0.9302,3.9981
0.0348,1.031,4.4331
0.0350,1.0075,4.3421
0.0352,0.8588,3.6978
0.0354,0.8785,3.783
0.0356,0.858,3.6947
0.0358,0.8772,3.7791
0.0360,0.8237,3.5454
0.0362,0.8152,3.5136
0.0364,0.7857,3.388
0.0366,0.7824,3.3751
0.0368,0.8116,3.4981
0.0370,0.857,3.6935
0.0372,0.8221,3.5398
0.0374,0.8126,3.4974
0.0376,0.8609,3.7071
0.0378,0.8537,3.6795
0.0380,0.8149,3.5055
0.0382,0.9155,3.9457
0.0384,0.8276,3.5685
0.0386,0.809,3.4851
0.0388,0.8541,3.6777
0.0390,0.8313,3.5829
0.0392,0.7772,3.3498
0.0394,0.7761,3.3467
0.0396,0.8281,3.5656
0.0398,0.8366,3.6056
0.0400,0.8114,3.4971
0.0402,0.7816,3.3704
0.0404,0.7818,3.371
0.0406,0.8206,3.5319
0.0408,0.888,3.8202
0.0410,0.924,3.975
0.0412,0.9046,3.8932
0.0414,0.9325,4.0023
0.0416,1.036,4.4527
0.0418,0.9834,4.2245
0.0420,0.98,4.2159
0.0422,0.8998,3.8726
0.0424,0.8842,3.8073
0.0426,0.867,3.7352
0.0428,0.8945,3.8517
0.0430,0.9076,3.9098
0.0432,0.8577,3.7
0.0434,0.7308,3.1541
0.0436,0.7081,3.0549
0.0438,0.6761,2.9195
0.0440,0.6675,2.8835
