Time (s),Main Avg Current (A),Main Avg Power (W)
97.7450,0.467,2.0164
97.7452,0.4459,1.9244
97.7454,0.4399,1.8985
97.7456,0.4551,1.9642
97.7458,0.4425,1.9099
97.7460,0.5025,2.1687
97.7462,0.4597,1.9839
97.7464,0.4904,2.1164
97.7466,0.5054,2.1801
97.7468,0.5093,2.1972
97.7470,0.5031,2.1743
97.7472,0.4099,1.7691
97.7474,0.4955,2.1347
97.7476,0.5792,2.493
97.7478,0.578,2.4913
97.7480,0.5016,2.1601
97.7482,0.5509,2.3767
97.7484,0.5096,2.1992
97.7486,0.4946,2.1316
97.7488,0.5508,2.3784
97.7490,0.4559,1.9642
97.7492,0.597,2.573
97.7494,0.6144,2.643
97.7496,0.6259,2.7
97.7498,0.4461,1.9245
97.7500,0.42,1.8118
97.7502,0.4153,1.7916
97.7504,0.4778,2.0621
97.7506,0.51,2.1993
97.7508,0.4971,2.1464
97.7510,0.4712,2.0345
97.7512,0.4506,1.9437
97.7514,0.5191,2.2365
97.7516,0.5803,2.4965
97.7518,0.674,2.8954
97.7520,0.7007,3.0131
97.7522,0.6712,2.8875
97.7524,0.6273,2.7
97.7526,0.6701,2.8789
97.7528,0.7072,3.0409
97.7530,0.7107,3.0573
97.7532,0.6212,2.6761
97.7534,0.6379,2.7467
97.7536,0.6338,2.7278
97.7538,0.7336,3.1485
97.7540,0.8059,3.4605
97.7542,0.8169,3.5046
97.7544,0.8325,3.5715
97.7546,0.8269,3.5473
97.7548,0.7982,3.4227
97.7550,0.8378,3.5974
97.7552,0.875,3.7571
97.7554,0.8215,3.5307
97.7556,0.7719,3.3147
97.7558,0.7945,3.4147
97.7560,0.7253,3.1217
97.7562,0.6609,2.8432
97.7564,0.6384,2.7436
97.7566,0.6783,2.918
97.7568,0.6768,2.9118
97.7570,0.6819,2.9307
97.7572,0.7133,3.0629
97.7574,0.7745,3.3286
97.7576,0.7609,3.2689
97.7578,0.7707,3.3127
97.7580,0.7946,3.4089
97.7582,0.8632,3.7066
97.7584,0.8561,3.6762
97.7586,0.8473,3.6364
97.7588,0.8495,3.6445
97.7590,0.8435,3.6255
97.7592,0.7634,3.2782
97.7594,0.8043,3.4506
97.7596,0.8142,3.5009
97.7598,0.6978,3.0049
97.7600,0.6527,2.812
97.7602,0.6443,2.7758
97.7604,0.6571,2.8306
97.7606,0.6384,2.7487
97.7608,0.64,2.756
97.7610,0.6472,2.787
97.7612,0.561,2.419
97.7614,0.4815,2.0772
97.7616,0.4645,2.0055
97.7618,0.4324,1.8682
97.7620,0.417,1.8013
97.7622,0.4011,1.7329
97.7624,0.4166,1.7964
97.7626,0.5136,2.2148
97.7628,0.4976,2.1475
97.7630,0.4441,1.9166
97.7632,0.4665,2.0106
97.7634,0.4795,2.0674
97.7636,0.488,2.108
97.7638,0.4107,1.7727
97.7640,0.4483,1.9321
97.7642,0.5483,2.362
97.7644,0.5897,2.5426
97.7646,0.5045,2.1765
97.7648,0.476,2.0524
97.7650,0.5217,2.2515
97.7652,0.5062,2.1827
97.7654,0.4949,2.1331
97.7656,0.5115,2.2065
97.7658,0.4537,1.9526
97.7660,0.5815,2.5063
97.7662,0.4618,1.9895
97.7664,0.4954,2.1391
97.7666,0.4219,1.8183
97.7668,0.4691,2.0248
97.7670,0.4595,1.9843
97.7672,0.4239,1.828
97.7674,0.4424,1.9103
97.7676,0.4645,2.0037
97.7678,0.5088,2.191
97.7680,0.5672,2.4425
97.7682,0.5761,2.4784
97.7684,0.6222,2.679
97.7686,0.6354,2.7358
97.7688,0.5826,2.5075
97.7690,0.6326,2.7252
97.7692,0.6026,2.5888
97.7694,0.6798,2.9288
97.7696,0.5939,2.5524
97.7698,0.6214,2.6772
97.7700,0.6186,2.6623
97.7702,0.5942,2.554
97.7704,0.6837,2.9357
97.7706,0.7092,3.0454
97.7708,0.7578,3.26
97.7710,0.7488,3.2183
97.7712,0.7174,3.0804
97.7714,0.7272,3.127
97.7716,0.6661,2.8667
97.7718,0.6139,2.6458
97.7720,0.5423,2.3319
97.7722,0.6442,2.774
97.7724,0.5392,2.3217
97.7726,0.5507,2.3735
97.7728,0.5271,2.2716
97.7730,0.5266,2.2675
97.7732,0.6066,2.6107
97.7734,0.6345,2.7309
97.7736,0.6286,2.7044
97.7738,0.635,2.7317
97.7740,0.6303,2.7116
97.7742,0.6563,2.817
97.7744,0.754,3.236
97.7746,0.7649,3.2859
97.7748,0.7561,3.2483
97.7750,0.6905,2.9761
97.7752,0.5708,2.4592
97.7754,0.6121,2.6357
97.7756,0.5952,2.5652
97.7758,0.5451,2.347
97.7760,0.5746,2.474
97.7762,0.5516,2.3754
97.7764,0.5409,2.33
97.7766,0.5259,2.2675
97.7768,0.5253,2.266
97.7770,0.5081,2.191
97.7772,0.5413,2.3321
97.7774,0.5567,2.3982
97.7776,0.5503,2.3719
97.7778,0.5528,2.3794
97.7780,0.5786,2.4939
97.7782,0.496,2.1398
97.7784,0.4197,1.8116
97.7786,0.4121,1.7784
97.7788,0.3998,1.7256
97.7790,0.3895,1.6811
97.7792,0.4474,1.9302
97.7794,0.4272,1.8445
97.7796,0.4141,1.7872
97.7798,0.4239,1.8297
97.7800,0.4257,1.8383
97.7802,0.4173,1.802
97.7804,0.3694,1.5949
97.7806,0.4167,1.797
97.7808,0.4846,2.0896
97.7810,0.4938,2.1275
97.7812,0.4661,2.0109
97.7814,0.4576,1.9715
97.7816,0.4592,1.9809
97.7818,0.4665,2.0162
97.7820,0.4341,1.8711
97.7822,0.4693,2.0253
97.7824,0.4324,1.8638
97.7826,0.5123,2.2091
97.7828,0.4591,1.9777
97.7830,0.4468,1.9276
97.7832,0.4618,1.9914
97.7834,0.4306,1.8561
97.7836,0.4646,2.0061
97.7838,0.4178,1.8041
97.7840,0.3933,1.6953
97.7842,0.4786,2.06
97.7844,0.5242,2.2561
97.7846,0.5646,2.43
97.7848,0.5984,2.5744
97.7850,0.6053,2.6014
97.7852,0.6316,2.7186
97.7854,0.5841,2.5118
97.7856,0.6115,2.6331
97.7858,0.6162,2.6495
97.7860,0.6267,2.6974
97.7862,0.6169,2.6563
97.7864,0.5705,2.4519
97.7866,0.6278,2.702
97.7868,0.5795,2.4882
97.7870,0.6876,2.9541
