Time (s),Main Avg Current (A),Main Avg Power (W)
0.1924,0.6067,2.6053
0.1926,0.6298,2.7029
0.1928,0.7877,3.3809
0.1930,0.653,2.8041
0.1932,0.5959,2.5661
0.1934,0.5153,2.2201
0.1936,0.4975,2.1431
0.1938,0.4406,1.8974
0.1940,0.4467,1.9228
0.1942,0.504,2.166
0.1944,0.5478,2.3569
0.1946,0.5036,2.1695
0.1948,0.4328,1.8655
0.1950,0.3853,1.6616
0.1952,0.3862,1.6644
0.1954,0.4053,1.7458
0.1956,0.438,1.8851
0.1958,0.4397,1.895
0.1960,0.4568,1.9652
0.1962,0.5056,2.1762
0.1964,0.4827,2.0777
0.1966,0.4724,2.0352
0.1968,0.4339,1.8702
0.1970,0.4315,1.8564
0.1972,0.4928,2.119
0.1974,0.6265,2.6953
0.1976,0.6312,2.7154
0.1978,0.5315,2.2877
0.1980,0.5024,2.1623
0.1982,0.4671,2.0124
0.1984,0.4352,1.875
0.1986,0.4364,1.8802
0.1988,0.429,1.8498
0.1990,0.4274,1.8423
0.1992,0.4159,1.791
0.1994,0.4053,1.7458
0.1996,0.4231,1.8211
0.1998,0.4778,2.0546
0.2000,0.5078,2.1855
0.2002,0.5123,2.2062
0.2004,0.5088,2.1907
0.2006,0.5066,2.1794
0.2008,0.5165,2.2212
0.2010,0.5567,2.3939
0.2012,0.5891,2.5308
0.2014,0.5883,2.5319
0.2016,0.4918,2.112
0.2018,0.5768,2.4812
0.2020,0.5052,2.1732
0.2022,0.5562,2.393
0.2024,0.5718,2.46
0.2026,0.5241,2.2557
0.2028,0.5264,2.2645
0.2030,0.5568,2.3922
0.2032,0.5757,2.4731
0.2034,0.6227,2.6738
0.2036,0.6016,2.588
0.2038,0.601,2.5818
0.2040,0.681,2.9159
0.2042,0.8491,3.6376
0.2044,0.7569,3.2501
0.2046,0.649,2.7879
0.2048,0.6108,2.6241
0.2050,0.6365,2.7343
0.2052,0.6577,2.8268
0.2054,0.6502,2.7957
0.2056,0.5329,2.2945
0.2058,0.4656,2.0076
0.2060,0.4845,2.0854
0.2062,0.5267,2.2671
0.2064,0.4941,2.1267
0.2066,0.4725,2.0347
0.2068,0.4701,2.0206
0.2070,0.5211,2.2408
0.2072,0.5339,2.2959
0.2074,0.5628,2.4225
0.2076,0.5343,2.2985
0.2078,0.5369,2.3078
0.2080,0.5648,2.4285
0.2082,0.5831,2.5039
0.2084,0.6226,2.6733
0.2086,0.5769,2.4817
0.2088,0.5012,2.1572
0.2090,0.4974,2.1416
0.2092,0.4957,2.1354
0.2094,0.4863,2.0931
0.2096,0.4851,2.0831
0.2098,0.684,2.9329
0.2100,0.7475,3.2129
0.2102,0.5937,2.5504
0.2104,0.5807,2.4959
0.2106,0.5672,2.4422
0.2108,0.4683,2.0195
0.2110,0.359,1.5485
0.2112,0.3401,1.4673
0.2114,0.4093,1.7618
0.2116,0.4664,2.0084
0.2118,0.4437,1.9117
0.2120,0.4116,1.7748
0.2122,0.415,1.7877
0.2124,0.4392,1.892
0.2126,0.4156,1.7894
0.2128,0.405,1.7472
0.2130,0.3327,1.4359
0.2132,0.3347,1.442
0.2134,0.3774,1.6244
0.2136,0.4194,1.8059
0.2138,0.4482,1.9299
0.2140,0.4026,1.7377
0.2142,0.3594,1.5499
0.2144,0.3569,1.5369
0.2146,0.4187,1.8037
0.2148,0.379,1.6342
0.2150,0.3395,1.4634
0.2152,0.3423,1.4753
0.2154,0.371,1.5981
0.2156,0.4082,1.7596
0.2158,0.4037,1.7383
0.2160,0.4048,1.7438
0.2162,0.4073,1.7554
0.2164,0.4272,1.8421
0.2166,0.3747,1.6163
0.2168,0.3285,1.4171
0.2170,0.3305,1.4253
0.2172,0.3355,1.4444
0.2174,0.3586,1.5448
0.2176,0.3425,1.4763
0.2178,0.3939,1.6959
0.2180,0.4228,1.8213
0.2182,0.4223,1.82
0.2184,0.4391,1.8915
0.2186,0.4441,1.9132
0.2188,0.441,1.8971
0.2190,0.4566,1.9633
0.2192,0.5076,2.1845
0.2194,0.4906,2.1098
0.2196,0.4933,2.1251
0.2198,0.4521,1.9487
0.2200,0.4091,1.7624
0.2202,0.4337,1.8648
0.2204,0.4948,2.1278
0.2206,0.5223,2.247
0.2208,0.5419,2.3235
0.2210,0.7052,3.0267
0.2212,0.6373,2.7367
0.2214,0.6154,2.6424
0.2216,0.5915,2.5435
0.2218,0.5451,2.3439
0.2220,0.5344,2.2991
0.2222,0.5465,2.349
0.2224,0.5974,2.5664
0.2226,0.5774,2.4803
0.2228,0.5709,2.4525
0.2230,0.5092,2.1897
0.2232,0.533,2.2907
0.2234,0.6012,2.5828
0.2236,0.655,2.811
0.2238,0.6813,2.9229
0.2240,0.6764,2.9032
0.2242,0.6693,2.8608
0.2244,0.7184,3.0776
0.2246,0.7038,3.0248
0.2248,0.6264,2.691
0.2250,0.6533,2.8038
0.2252,0.6734,2.8903
0.2254,0.6395,2.7446
0.2256,0.623,2.6766
0.2258,0.6137,2.6364
0.2260,0.6058,2.6024
0.2262,0.5943,2.5506
0.2264,0.6229,2.6786
0.2266,0.5074,2.184
0.2268,0.4457,1.9199
0.2270,0.4244,1.8293
0.2272,0.441,1.8989
0.2274,0.5025,2.1598
0.2276,0.5339,2.2949
0.2278,0.5645,2.4274
0.2280,0.5198,2.233
0.2282,0.5278,2.2728
0.2284,0.5331,2.2923
0.2286,0.563,2.4151
0.2288,0.6406,2.7506
0.2290,0.6203,2.6635
