Time (s),Main Avg Current (A),Main Avg Power (W)
0.0000,0.5836,2.5083
0.0002,0.6178,2.6527
0.0004,0.6819,2.9309
0.0006,0.6416,2.759
0.0008,0.581,2.4958
0.0010,0.6018,2.589
0.0012,0.6691,2.8784
0.0014,0.6921,2.9733
0.0016,0.694,2.9829
0.0018,0.6558,2.8172
0.0020,0.6542,2.8131
0.0022,0.5949,2.5591
0.0024,0.562,2.4177
0.0026,0.5657,2.436
0.0028,0.5642,2.4259
0.0030,0.6101,2.6197
0.0032,0.6591,2.8303
0.0034,0.6374,2.7358
0.0036,0.6495,2.7904
0.0038,0.65,2.7899
0.0040,0.6624,2.8442
0.0042,0.6898,2.9621
0.0044,0.6548,2.8144
0.0046,0.6401,2.7497
0.0048,0.6408,2.7554
0.0050,0.5825,2.5013
0.0052,0.6699,2.8753
0.0054,0.6806,2.9211
0.0056,0.6914,2.9674
0.0058,0.6874,2.9518
0.0060,0.6944,2.9845
0.0062,0.737,3.1615
0.0064,0.7759,3.3349
0.0066,0.6885,2.9578
0.0068,0.6404,2.7577
0.0070,0.6221,2.6749
0.0072,0.6051,2.6029
0.0074,0.5693,2.4481
0.0076,0.5702,2.4528
0.0078,0.5355,2.3059
0.0080,0.4723,2.0338
0.0082,0.464,1.9982
0.0084,0.466,2.0055
0.0086,0.474,2.0401
0.0088,0.4778,2.0508
0.0090,0.5879,2.5303
0.0092,0.5244,2.2568
0.0094,0.5612,2.413
0.0096,0.6704,2.8814
0.0098,0.6921,2.9733
0.0100,0.6284,2.701
0.0102,0.5792,2.4927
0.0104,0.5246,2.2547
0.0106,0.5886,2.5323
0.0108,0.5877,2.5258
0.0110,0.6385,2.743
0.0112,0.6109,2.627
0.0114,0.5487,2.3594
0.0116,0.5578,2.3975
0.0118,0.6567,2.8187
0.0120,0.6704,2.88
0.0122,0.592,2.5467
0.0124,0.5903,2.5324
0.0126,0.7127,3.0548
0.0128,0.7582,3.2586
0.0130,0.6702,2.8804
0.0132,0.6359,2.7342
0.0134,0.6191,2.6608
0.0136,0.6185,2.6582
0.0138,0.6487,2.7881
0.0140,0.631,2.7118
0.0142,0.6738,2.8958
0.0144,0.6811,2.9286
0.0146,0.6533,2.8012
0.0148,0.7816,3.3544
0.0150,0.774,3.322
0.0152,0.7547,3.2437
0.0154,0.6542,2.8118
0.0156,0.6937,2.98
0.0158,0.7031,3.0235
0.0160,0.6204,2.6714
0.0162,0.5618,2.4178
0.0164,0.5598,2.4073
0.0166,0.6248,2.6855
0.0168,0.6715,2.886
0.0170,0.6362,2.7358
0.0172,0.6288,2.7051
0.0174,0.6239,2.6827
0.0176,0.6375,2.7376
0.0178,0.6893,2.9587
0.0180,0.7121,3.0536
0.0182,0.7679,3.2912
0.0184,0.7882,3.378
0.0186,0.7933,3.4033
0.0188,0.7822,3.3539
0.0190,0.8361,3.5853
0.0192,0.7999,3.4348
0.0194,0.6817,2.9298
0.0196,0.6058,2.6072
0.0198,0.5672,2.4377
0.0200,0.6006,2.585
0.0202,0.5589,2.4077
0.0204,0.5234,2.2548
0.0206,0.5408,2.3275
0.0208,0.6447,2.7659
0.0210,0.8015,3.4383
0.0212,0.7346,3.1527
0.0214,0.7286,3.1299
0.0216,0.6202,2.6654
0.0218,0.6431,2.7652
0.0220,0.6097,2.6206
0.0222,0.6263,2.6967
0.0224,0.5121,2.2052
0.0226,0.4934,2.1227
0.0228,0.5423,2.3321
0.0230,0.5509,2.3753
0.0232,0.3863,1.6667
0.0234,0.3625,1.5645
0.0236,0.3507,1.513
0.0238,0.3461,1.4936
0.0240,0.3468,1.4939
0.0242,0.4622,1.9913
0.0244,0.4722,2.0352
0.0246,0.4197,1.8105
0.0248,0.3607,1.5553
0.0250,0.3531,1.5234
0.0252,0.3519,1.5182
0.0254,0.3529,1.5216
0.0256,0.3559,1.536
0.0258,0.3571,1.5405
0.0260,0.3501,1.5098
0.0262,0.3463,1.4939
0.0264,0.35,1.5099
0.0266,0.3532,1.5232
0.0268,0.3513,1.5149
0.0270,0.3916,1.6855
0.0272,0.5012,2.1582
0.0274,0.4636,1.9942
0.0276,0.5831,2.5085
0.0278,0.482,2.0766
0.0280,0.4509,1.9423
0.0282,0.4354,1.8739
0.0284,0.447,1.9257
0.0286,0.4306,1.855
0.0288,0.4381,1.8875
0.0290,0.4419,1.9026
0.0292,0.5034,2.1635
0.0294,0.598,2.5689
0.0296,0.5844,2.5142
0.0298,0.5359,2.3042
0.0300,0.5607,2.4087
0.0302,0.6387,2.7453
0.0304,0.5789,2.4916
0.0306,0.5385,2.3166
0.0308,0.5669,2.4366
0.0310,0.6116,2.6301
0.0312,0.5733,2.4662
0.0314,0.5582,2.4012
0.0316,0.5527,2.3753
0.0318,0.6024,2.5916
0.0320,0.6094,2.6203
0.0322,0.5963,2.5653
0.0324,0.5612,2.4153
0.0326,0.5503,2.3683
0.0328,0.5486,2.3589
0.0330,0.5463,2.3491
0.0332,0.6089,2.6158
0.0334,0.6968,2.9906
0.0336,0.7091,3.0436
0.0338,0.701,3.0086
0.0340,0.6958,2.9851
0.0342,0.733,3.1431
0.0344,0.7685,3.2953
0.0346,0.7181,3.0808
0.0348,0.6747,2.8945
0.0350,0.6843,2.9371
0.0352,0.714,3.0633
0.0354,0.7318,3.1379
0.0356,0.7967,3.4193
0.0358,0.673,2.8954
0.0360,0.5438,2.3404
0.0362,0.5041,2.1666
0.0364,0.5949,2.5615
0.0366,0.567,2.4383
0.0368,0.5904,2.5365
0.0370,0.6437,2.769
0.0372,0.5921,2.5449
0.0374,0.6524,2.8015
0.0376,0.6817,2.9244
0.0378,0.7325,3.1469
0.0380,0.6417,2.7595
0.0382,0.5976,2.5757
0.0384,0.469,2.0212
0.0386,0.4714,2.0306
0.0388,0.4736,2.0404
0.0390,0.4781,2.0586
0.0392,0.456,1.9636
0.0394,0.5449,2.3429
0.0396,0.5473,2.3576
0.0398,0.4031,1.7407
0.0400,0.3397,1.4661
0.0402,0.3487,1.5036
0.0404,0.3438,1.483
0.0406,0.3464,1.4937
0.0408,0.3903,1.6806
0.0410,0.4083,1.7613
0.0412,0.3507,1.513
0.0414,0.3446,1.4867
0.0416,0.3499,1.5094
0.0418,0.3488,1.5048
0.0420,0.3501,1.5112
0.0422,0.3518,1.5184
0.0424,0.3608,1.5565
0.0426,0.3621,1.5622
0.0428,0.3564,1.5374
0.0430,0.355,1.5317
0.0432,0.3558,1.5348
0.0434,0.3538,1.5265
0.0436,0.3933,1.6927
0.0438,0.5126,2.2083
0.0440,0.4772,2.055
0.0442,0.5078,2.1866
0.0444,0.4905,2.1132
0.0446,0.45,1.9386
0.0448,0.4468,1.9247
0.0450,0.4468,1.9238
0.0452,0.4585,1.9772
0.0454,0.4483,1.9314
0.0456,0.4457,1.9183
0.0458,0.5064,2.1764
0.0460,0.6078,2.6111
0.0462,0.5968,2.5673
0.0464,0.5488,2.3621
0.0466,0.5423,2.3331
0.0468,0.6197,2.6659
0.0470,0.6006,2.5838
0.0472,0.5467,2.3528
0.0474,0.5612,2.4119
0.0476,0.6127,2.6347
