Time (s),Main Avg Current (A),Main Avg Power (W)
0.0084,0.3591,1.5427
0.0086,0.3845,1.6526
0.0088,0.3846,1.6532
0.0090,0.3869,1.6629
0.0092,0.3961,1.7002
0.0094,0.4612,1.9806
0.0096,0.4683,2.0147
0.0098,0.3674,1.5804
0.0100,0.3265,1.4045
0.0102,0.3053,1.3144
0.0104,0.3025,1.3026
0.0106,0.2649,1.1415
0.0108,0.2114,0.9106
0.0110,0.2249,0.9694
0.0112,0.2375,1.0228
0.0114,0.2274,0.9798
0.0116,0.2181,0.9387
0.0118,0.3011,1.2952
0.0120,0.3153,1.3572
0.0122,0.2779,1.1984
0.0124,0.2145,0.9245
0.0126,0.2561,1.1018
0.0128,0.3134,1.3452
0.0130,0.3906,1.6781
0.0132,0.3776,1.6243
0.0134,0.3243,1.3972
0.0136,0.288,1.2401
0.0138,0.2826,1.2157
0.0140,0.2834,1.2188
0.0142,0.2857,1.2292
0.0144,0.2842,1.223
0.0146,0.2873,1.237
0.0148,0.2964,1.2745
0.0150,0.374,1.6073
0.0152,0.3676,1.58
0.0154,0.364,1.5645
0.0156,0.3749,1.6122
0.0158,0.4029,1.7299
0.0160,0.4602,1.975
0.0162,0.4964,2.1285
0.0164,0.5015,2.1516
0.0166,0.4597,1.9767
0.0168,0.3676,1.5807
0.0170,0.3712,1.5954
0.0172,0.3728,1.6029
0.0174,0.3737,1.6085
0.0176,0.312,1.3421
0.0178,0.2929,1.2595
0.0180,0.2997,1.2901
0.0182,0.2897,1.2468
0.0184,0.2891,1.2436
0.0186,0.2881,1.2389
0.0188,0.3001,1.2899
0.0190,0.3749,1.6129
0.0192,0.3665,1.5753
0.0194,0.3755,1.6132
0.0196,0.3708,1.5939
0.0198,0.3605,1.5496
0.0200,0.3809,1.6379
0.0202,0.3646,1.5671
0.0204,0.3726,1.6031
0.0206,0.3001,1.2929
0.0208,0.2734,1.1771
0.0210,0.2892,1.2453
0.0212,0.3018,1.2983
0.0214,0.2905,1.2509
0.0216,0.2717,1.1688
0.0218,0.2689,1.158
0.0220,0.2814,1.2117
0.0222,0.282,1.2137
0.0224,0.2806,1.2081
0.0226,0.2831,1.2189
0.0228,0.3091,1.3304
0.0230,0.3315,1.4242
0.0232,0.3788,1.6279
0.0234,0.3978,1.7106
0.0236,0.4096,1.7579
0.0238,0.4933,2.1131
0.0240,0.5946,2.5483
