Time (s),Main Avg Current (A),Main Avg Power (W)
0.0708,0.6254,2.6905
0.0710,0.6114,2.6313
0.0712,0.6072,2.6132
0.0714,0.6283,2.7028
0.0716,0.6122,2.6349
0.0718,0.6076,2.6141
0.0720,0.6267,2.6936
0.0722,0.6231,2.6782
0.0724,0.6338,2.724
0.0726,0.6524,2.8079
0.0728,0.6224,2.6763
0.0730,0.6328,2.7199
0.0732,0.6529,2.806
0.0734,0.6428,2.7627
0.0736,0.6378,2.7411
0.0738,0.6568,2.823
0.0740,0.6421,2.7622
0.0742,0.6405,2.7529
0.0744,0.6451,2.7738
0.0746,0.62,2.6672
0.0748,0.6296,2.7073
0.0750,0.6248,2.6866
0.0752,0.6068,2.6068
0.0754,0.6501,2.7942
0.0756,0.6297,2.7078
0.0758,0.6282,2.7023
0.0760,0.6088,2.618
0.0762,0.6102,2.6237
0.0764,0.6283,2.7028
0.0766,0.6265,2.6939
0.0768,0.6356,2.7343
0.0770,0.6266,2.6956
0.0772,0.6457,2.7777
0.0774,0.6374,2.7408
0.0776,0.6273,2.6975
0.0778,0.6561,2.8212
0.0780,0.6464,2.7808
0.0782,0.652,2.8011
0.0784,0.6479,2.7849
0.0786,0.6397,2.7493
0.0788,0.6457,2.7764
0.0790,0.619,2.6644
0.0792,0.6313,2.7157
0.0794,0.6027,2.5941
0.0796,0.6134,2.6389
0.0798,0.6193,2.6617
0.0800,0.6226,2.6773
0.0802,0.6186,2.661
0.0804,0.6189,2.6614
0.0806,0.6186,2.6586
0.0808,0.6306,2.7127
0.0810,0.6219,2.6755
0.0812,0.6194,2.6659
0.0814,0.6235,2.6822
0.0816,0.6378,2.7436
0.0818,0.63,2.7101
0.0820,0.621,2.6701
0.0822,0.6507,2.7993
0.0824,0.6348,2.7307
0.0826,0.6298,2.7096
0.0828,0.6154,2.6476
0.0830,0.6198,2.665
0.0832,0.6184,2.6593
0.0834,0.6116,2.6299
0.0836,0.6166,2.6503
0.0838,0.62,2.666
0.0840,0.6165,2.651
0.0842,0.6385,2.748
0.0844,0.6226,2.6773
0.0846,0.6308,2.7137
0.0848,0.6356,2.7331
0.0850,0.6193,2.6629
0.0852,0.6265,2.6939
0.0854,0.6138,2.6392
0.0856,0.6324,2.7204
0.0858,0.6168,2.6545
0.0860,0.6007,2.5854
0.0862,0.6145,2.6447
0.0864,0.6099,2.6239
0.0866,0.629,2.7047
0.0868,0.6121,2.632
0.0870,0.6075,2.6124
0.0872,0.6258,2.692
0.0874,0.6091,2.6191
0.0876,0.6357,2.7348
0.0878,0.61,2.6256
0.0880,0.5958,2.563
0.0882,0.6058,2.6051
0.0884,0.6159,2.6485
0.0886,0.6172,2.6554
0.0888,0.6067,2.61
0.0890,0.5916,2.5485
0.0892,0.5793,2.4923
0.0894,0.5877,2.5296
0.0896,0.5808,2.4997
0.0898,0.5791,2.4924
0.0900,0.5725,2.464
0.0902,0.5709,2.4596
0.0904,0.5761,2.4807
0.0906,0.5961,2.5681
0.0908,0.5909,2.5442
0.0910,0.5791,2.4936
0.0912,0.5731,2.4666
0.0914,0.5671,2.4408
0.0916,0.5736,2.4675
0.0918,0.5669,2.4398
0.0920,0.5675,2.4435
0.0922,0.5687,2.4475
0.0924,0.5863,2.5234
0.0926,0.582,2.5037
0.0928,0.597,2.567
0.0930,0.617,2.6556
0.0932,0.6068,2.6105
0.0934,0.6136,2.6411
0.0936,0.6007,2.5878
0.0938,0.5386,2.3223
0.0940,0.5113,2.2049
0.0942,0.4975,2.1444
0.0944,0.5041,2.1728
0.0946,0.495,2.1306
0.0948,0.5868,2.5243
0.0950,0.6145,2.641
0.0952,0.606,2.6057
0.0954,0.6139,2.6422
0.0956,0.5913,2.5451
0.0958,0.6081,2.6174
0.0960,0.5991,2.5799
0.0962,0.5834,2.5099
0.0964,0.5789,2.4926
0.0966,0.5763,2.4806
0.0968,0.5792,2.493
0.0970,0.5868,2.5243
0.0972,0.6157,2.6487
0.0974,0.622,2.6748
0.0976,0.6506,2.7962
0.0978,0.6502,2.796
0.0980,0.6344,2.7292
0.0982,0.6061,2.6062
0.0984,0.6176,2.6557
0.0986,0.6158,2.6479
0.0988,0.6166,2.6528
0.0990,0.6042,2.5991
0.0992,0.5918,2.5448
0.0994,0.5888,2.5331
0.0996,0.5937,2.553
0.0998,0.5983,2.5738
0.1000,0.6123,2.6342
0.1002,0.6164,2.6493
0.1004,0.6304,2.7134
0.1006,0.6068,2.6105
0.1008,0.6168,2.6545
0.1010,0.61,2.6256
0.1012,0.6093,2.6238
0.1014,0.6064,2.6089
